Payment Allowance Limits for Medicare Part B Drugs,,,,,,,,,,,,
,,,,,,,,,,,,
"Effective July 1, 2026 through September 30, 2026",,,,,,,,,,,,
,,,,,,,,,,,,
Note 1: Payment allowance limits subject to the ASP methodology are based on 1Q26 ASP data.,,,,,,,,,,,,
Note 2: The absence or presence of a HCPCS code and the payment allowance limits in this table does not indicate whether Medicare covers a drug.  These determinations shall be made by the local Medicare contractor processing the claim.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
HCPCS Code,Short Description,HCPCS Code Dosage,Payment Limit,Co-insurance Percentage,Vaccine AWP%,Vaccine Limit,Blood AWP%,Blood limit,Clotting Factor,Notes,,
J0699,"Inj, cefiderocol, 10 mg",10 mg,2.548,19.627,,,,,,Inflation-adjusted coinsurance,,
J0701,Inj. cefepime hcl (baxter),500 MG,6.027,7.794,,,,,,Inflation-adjusted coinsurance,,
J0702,Betamethasone acet&sod phosp,3 MG & 3 MG,7.126,20.000,,,,,,,,
J0703,"Inj, cefepime hcl (b braun)",500 MG,4.479,10.488,,,,,,Inflation-adjusted coinsurance,,
J0712,Ceftaroline fosamil inj,10 MG,4.390,20.000,,,,,,,,
J0713,Inj ceftazidime per 500 mg,500 MG,1.443,20.000,,,,,,,,
J0714,Ceftazidime and avibactam,.625 GM,109.768,20.000,,,,,,,,
J0717,Certolizumab pegol inj 1mg,1 MG,3.444,20.000,,,,,,"""lesser of"" methodology applied",,
J0725,Chorionic gonadotropin/1000u,1000 UNITS,15.069,20.000,,,,,,,,
J0735,Clonidine hydrochloride,1 MG,15.077,20.000,,,,,,,,
J0736,"Inj, clindamycin phosp 300mg",300 MG,1.974,20.000,,,,,,,,
J0737,"Inj, clindamycin (baxter)",300 MG,2.186,20.000,,,,,,,,
J0738,"Hiv prep, inj, lenacapavir",1 MG,16.081,0.000,,,,,,HIV PrEP drug,,
J0739,"Hiv prep, inj, cabotegravir",1 mg,7.294,0.000,,,,,,HIV PrEP drug,,
J0740,Cidofovir injection,375 MG,535.735,20.000,,,,,,,,
J0741,"Inj, cabote rilpivir 2mg 3mg",2MG/3MG,24.667,20.000,,,,,,,,
J0742,Inj imip 4 cilas 4 releb 2mg,4 MG-4 MG-2 MG,2.691,20.000,,,,,,,,
J0743,Cilastatin sodium injection,250 MG,6.517,20.000,,,,,,,,
J0744,Ciprofloxacin iv,200 MG,1.720,20.000,,,,,,,,
J0750,"Hiv prep, ftc/tdf 200/300mg",200 mg/300 mg,0.453,0.000,,,,,,HIV PrEP drug,,
J0751,"Hiv prep, ftc/taf 200/25mg",200 mg/25 mg,71.427,0.000,,,,,,HIV PrEP drug,,
J0752,"Hiv prep, oral lenacapavir",300 MG,620.909,0.000,,,,,,HIV PrEP drug,,
J0759,"Inj, clevidipine, 1 mg",1 MG,2.837,20.000,,,,,,,,
J0770,Colistimethate sodium inj,150 MG,14.494,20.000,,,,,,,,
J0775,"Collagenase, clost hist inj",0.01 MG,78.299,17.278,,,,,,Inflation-adjusted coinsurance,,
J0780,Prochlorperazine injection,10 MG,2.762,20.000,,,,,,,,
J0791,Inj crizanlizumab-tmca 5mg,5 MG,129.937,20.000,,,,,,,,
J0801,Inj. acthar gel to 40 units,40 UNITS,4133.449,20.000,,,,,,,,
J0802,"Inj. (ani), up to 40 units",up to 40 Units,3674.678,20.000,,,,,,,,
J0834,"Inj., cosyntropin, 0.25 mg",0.25 MG,18.384,20.000,,,,,,,,
J0840,Crotalidae poly immune fab,UP TO 1 GM,1906.906,20.000,,,,,,,,
J0850,Cytomegalovirus imm iv /vial,PER VIAL,1858.821,20.000,,,,,,,,
J0870,"Injection, imetelstat, 1 mg",1 MG,59.531,19.269,,,,,,Inflation-adjusted coinsurance,,
J0872,Daptomycin (xellia) unrefrig,1 MG,0.042,20.000,,,,,,,,
J0873,Inj daptomycin (xellia),1 MG,0.045,20.000,,,,,,,,
J0874,"Inj, daptomycin (baxter)",1 MG,0.060,20.000,,,,,,,,
J0875,"Injection, dalbavancin",5 MG,11.293,20.000,,,,,,,,
J0877,"Inj, daptomycin (hospira)",1 MG,0.057,20.000,,,,,,,,
J0878,Daptomycin injection,1 MG,0.029,20.000,,,,,,AMP-based payment limit,,
J0881,"Darbepoetin alfa, non-esrd",1 MCG,2.920,20.000,,,,,,,,
J0882,"Darbepoetin alfa, esrd use",1 MCG,2.920,20.000,,,,,,,,
J0883,Argatroban nonesrd use 1mg,1 MG,0.864,20.000,,,,,,,,
J0884,Argatroban esrd dialysis 1mg,1 MG,0.864,20.000,,,,,,,,
J0885,"Epoetin alfa, non-esrd",1000 UNITS,6.876,20.000,,,,,,,,
J0887,Epoetin beta esrd use,1 MCG,1.090,20.000,,,,,,,,
J0888,Epoetin beta non esrd,1 MCG,1.090,20.000,,,,,,,,
J0894,Decitabine injection,1 MG,1.064,20.000,,,,,,,,
J0895,Deferoxamine mesylate inj,500 MG,10.020,20.000,,,,,,,,
J0896,Inj luspatercept-aamt 0.25mg,0.25 MG,43.514,20.000,,,,,,,,
J0897,Denosumab injection,1 MG,30.101,17.326,,,,,,Inflation-adjusted coinsurance,,
J0898,Argatroban nonesrd (auromed),1 MG,1.214,20.000,,,,,,,,
J0899,"Argatroban dialysis, auromed",1 MG,1.214,20.000,,,,,,,,
J0901,Vadadustat oral 1mg for esrd,1 MG,0.137,20.000,,,,,,,,
J1000,Depo-estradiol cypionate inj,5 MG,53.811,20.000,,,,,,,,
J1010,"Inj, methylpred acetate 1 mg",1 MG,0.117,20.000,,,,,,,,
J1071,Inj testosterone cypionate,1 MG,0.025,20.000,,,,,,,,
J1072,"Inj, testosterone, azmiro",1 MG,1.296,20.000,,,,,,,,
J1096,Dexametha opth insert 0.1 mg,0.1 MG,90.019,20.000,,,,,,,,
J1100,Dexamethasone sodium phos,1 MG,0.085,20.000,,,,,,,,
J1110,Inj dihydroergotamine mesylt,1 MG,54.978,20.000,,,,,,,,
J1120,Acetazolamid sodium injectio,500 MG,28.127,20.000,,,,,,,,
J1160,Digoxin injection,0.5 MG,3.911,20.000,,,,,,,,
J1162,Digoxin immune fab (ovine),PER VIAL,5383.321,19.070,,,,,,Inflation-adjusted coinsurance,,
J1163,"Inj, diltiazem hcl, 0.5 mg",0.5 MG,0.028,20.000,,,,,,,,
J1164,Inj diltiazem in 0.72% nacl,0.5 MG,0.176,20.000,,,,,,,,
J1165,Phenytoin sodium injection,50 MG,0.545,20.000,,,,,,,,
J1171,"Inj, hydromorphone, 0.1 mg",0.1 MG,0.136,20.000,,,,,,,,
J1190,Dexrazoxane hcl injection,250 MG,41.441,20.000,,,,,,,,
J1200,Diphenhydramine hcl injectio,50 MG,0.752,20.000,,,,,,,,
J1201,Inj. cetirizine hcl 0.5mg,0.5 MG,17.156,20.000,,,,,,,,
J1203,"Inj, cipaglucosidase, 5 mg",5 MG,96.302,19.304,,,,,,Inflation-adjusted coinsurance,,
J1205,Chlorothiazide sodium inj,500 MG,77.771,20.000,,,,,,,,
J1212,Dimethyl sulfoxide 50% 50 ml,50 ML,748.879,20.000,,,,,,,,
J1230,Methadone injection,10 MG,12.707,20.000,,,,,,,,
J1240,Dimenhydrinate injection,50 MG,8.638,20.000,,,,,,,,
J1245,Dipyridamole injection,10 MG,8.410,20.000,,,,,,,,
J1250,Inj dobutamine hcl/250 mg,250 MG,7.691,20.000,,,,,,,,
J1265,Dopamine injection,40 MG,1.012,20.000,,,,,,,,
J1270,"Injection, doxercalciferol",1 MCG,0.325,20.000,,,,,,,,
J1271,Inj doxycycline hyclate 1 mg,1 MG,0.087,20.000,,,,,,,,
J1290,Ecallantide injection,1 MG,595.944,20.000,,,,,,,,
J1299,"Inj, eculizumab, 2 mg",2 MG,44.198,20.000,,,,,,,,
J1301,"Injection, edaravone, 1 mg",1 MG,6.463,20.000,,,,,,,,
J1302,"Inj, sutimlimab-jome, 10 mg",10 MG,19.642,19.482,,,,,,Inflation-adjusted coinsurance,,
J1303,"Inj., ravulizumab-cwvz 10 mg",10 MG,226.920,20.000,,,,,,,,
J1304,Inj tofersen intrathec 1 mg,1 MG,164.816,19.475,,,,,,Inflation-adjusted coinsurance,,
J1305,"Inj, evinacumab-dgnb, 5mg",5 MG,197.633,20.000,,,,,,,,
J1306,"Injection, inclisiran, 1 mg",1 MG,12.905,20.000,,,,,,,,
J1307,"Inj, crovalimab-akkz, 10 mg",10 MG,551.512,20.000,,,,,,,,
J1308,"Inj, famotidine, 0.25 mg",0.25 MG,0.008,20.000,,,,,,,,
J1322,"Elosulfase alfa, injection",1 MG,319.517,19.467,,,,,,Inflation-adjusted coinsurance,,
J1323,"Inj, elranatamab-bcmm, 1 mg",1 MG,192.482,19.956,,,,,,Inflation-adjusted coinsurance,,
J1325,Epoprostenol injection,0.5 MG,16.918,20.000,,,,,,,,
J1326,"Inj, zolbetuximab-clzb, 2 mg",2 MG,33.924,20.000,,,,,,,,
J1335,Ertapenem injection,500 MG,6.750,20.000,,,,,,,,
J1364,Erythro lactobionate /500 mg,500 MG,172.479,20.000,,,,,,,,
J1380,Estradiol valerate 10 mg inj,10 MG,7.702,20.000,,,,,,,,
J1410,Inj estrogen conjugate 25 mg,25 MG,401.503,20.000,,,,,,,,
J1430,Ethanolamine oleate 100 mg,100 MG,547.271,20.000,,,,,,,,
J1434,"Inj, focinvez, 1mg",1 MG,2.456,20.000,,,,,,,,
J1437,Inj. fe derisomaltose 10 mg,10 MG,21.077,20.000,,,,,,,,
J1439,Inj ferric carboxymaltos 1mg,1 MG,1.132,20.000,,,,,,,,
J1440,Fecal microbiota jslm 1 ml,1 ML,65.604,20.000,,,,,,,,
J1442,Inj filgrastim excl biosimil,1 MCG,1.006,20.000,,,,,,,,
J1447,Inj tbo filgrastim 1 microg,1 MCG,0.236,20.000,,,,,,,,
J1448,"Injection, trilaciclib, 1mg",1 MG,5.463,20.000,,,,,,,,
J1449,Inj eflapegrastim-xnst 0.1mg,0.1 MG,38.562,17.914,,,,,,Inflation-adjusted coinsurance,,
